operator_name,owned,E1,E2,max-lvl,S1M3,S2M3,S3M3,operator_id
Lancet-2,3,0,0,3,0,0,0,char_285_medic2
Castle-3,3,0,0,3,0,0,0,char_286_cast3
Thermal-EX,3,0,0,3,0,0,0,char_376_therex
"""Justice Knight""",3,0,0,3,0,0,0,char_4000_jnight
Yato,3,0,0,3,0,0,0,char_502_nblade
Noir Corne,3,0,0,3,0,0,0,char_500_noirc
Rangers,3,0,0,3,0,0,0,char_503_rang
Durin,3,0,0,3,0,0,0,char_501_durin
12F,3,0,0,3,0,0,0,char_009_12fce
Fang,3,2,0,2,0,0,0,char_123_fang
Vanilla,3,1,0,1,0,0,0,char_240_wyvern
Plume,3,2,0,2,0,0,0,char_192_falco
Melantha,3,3,0,3,0,0,0,char_208_melan
Popukar,3,2,0,2,0,0,0,char_281_popka
Cardigan,3,2,0,2,0,0,0,char_209_ardign
Beagle,3,1,0,1,0,0,0,char_122_beagle
Spot,3,3,0,3,0,0,0,char_284_spot
Kroos,3,3,0,3,0,0,0,char_124_kroos
Adnachiel,3,1,0,1,0,0,0,char_211_adnach
Lava,3,3,0,3,0,0,0,char_121_lava
Hibiscus,3,2,0,1,0,0,0,char_120_hibisc
Ansel,3,2,0,2,0,0,0,char_212_ansel
Steward,3,3,0,2,0,0,0,char_210_stward
Orchid,3,2,0,1,0,0,0,char_278_orchid
Haze,3,2,1,0,0,0,0,char_141_nights
Gitano,3,3,2,0,0,0,0,char_109_fmout
Greyy,3,0,0,0,0,0,0,char_253_greyy
Click,3,2,0,0,0,0,0,char_328_cammou
Indigo,3,1,1,0,0,0,0,char_469_indigo
Pudding,3,3,1,0,0,0,0,char_4004_pudd
Jessica,3,3,1,0,0,0,0,char_235_jesica
Meteor,3,2,2,0,1,0,0,char_126_shotst
Vermeil,3,3,0,0,0,0,0,char_190_clour
May,3,2,0,0,0,0,0,char_133_mm
Shirayuki,3,3,1,0,0,0,0,char_118_yuki
Pinecone,3,2,1,0,1,0,0,char_440_pinecn
Ambriel,3,2,0,0,0,0,0,char_302_glaze
Aciddrop,3,0,0,0,0,0,0,char_366_acdrop
Courier,3,2,0,0,0,0,0,char_198_blackd
Scavenger,3,3,0,0,0,0,0,char_149_scave
Vigna,3,3,2,0,0,0,0,char_290_vigna
Myrtle,3,3,3,0,3,2,0,char_151_myrtle
Beanstalk,3,3,0,0,0,0,0,char_452_bstalk
