operator_name,owned,E1,E2,max-lvl,S1M3,S2M3,S3M3,operator_id
Lancet-2,4,0,0,4,0,0,0,char_285_medic2
Castle-3,4,0,0,4,0,0,0,char_286_cast3
Thermal-EX,4,0,0,4,0,0,0,char_376_therex
"""Justice Knight""",4,0,0,4,0,0,0,char_4000_jnight
Yato,4,0,0,4,0,0,0,char_502_nblade
Noir Corne,4,0,0,4,0,0,0,char_500_noirc
Rangers,4,0,0,4,0,0,0,char_503_rang
Durin,4,0,0,4,0,0,0,char_501_durin
12F,4,0,0,4,0,0,0,char_009_12fce
Fang,4,3,0,3,0,0,0,char_123_fang
Vanilla,4,2,0,2,0,0,0,char_240_wyvern
Plume,4,3,0,3,0,0,0,char_192_falco
Melantha,4,4,0,4,0,0,0,char_208_melan
Popukar,4,3,0,3,0,0,0,char_281_popka
Cardigan,4,3,0,3,0,0,0,char_209_ardign
Beagle,4,1,0,1,0,0,0,char_122_beagle
Spot,4,4,0,4,0,0,0,char_284_spot
Kroos,4,4,0,4,0,0,0,char_124_kroos
Adnachiel,4,1,0,1,0,0,0,char_211_adnach
Lava,4,4,0,4,0,0,0,char_121_lava
Hibiscus,4,3,0,2,0,0,0,char_120_hibisc
Ansel,4,3,0,3,0,0,0,char_212_ansel
Steward,4,4,0,3,0,0,0,char_210_stward
Orchid,4,3,0,2,0,0,0,char_278_orchid
Haze,3,2,1,0,0,0,0,char_141_nights
Gitano,3,3,2,0,0,0,0,char_109_fmout
Greyy,3,0,0,0,0,0,0,char_253_greyy
Click,3,2,0,0,0,0,0,char_328_cammou
Indigo,4,2,2,1,1,1,0,char_469_indigo
Pudding,3,3,1,0,0,0,0,char_4004_pudd
Jessica,3,3,1,0,0,0,0,char_235_jesica
Meteor,3,2,2,0,1,0,0,char_126_shotst
Vermeil,4,4,1,1,1,1,0,char_190_clour
May,4,3,1,1,1,1,0,char_133_mm
Shirayuki,4,4,2,1,0,1,0,char_118_yuki
Pinecone,3,2,1,0,1,0,0,char_440_pinecn
Ambriel,3,2,0,0,0,0,0,char_302_glaze
Aciddrop,3,0,0,0,0,0,0,char_366_acdrop
Courier,3,2,0,0,0,0,0,char_198_blackd
Scavenger,3,3,0,0,0,0,0,char_149_scave
Vigna,3,3,2,0,0,0,0,char_290_vigna
Myrtle,4,4,4,1,4,3,0,char_151_myrtle
Beanstalk,3,3,0,0,0,0,0,char_452_bstalk
Dobermann,4,2,0,0,0,0,0,char_130_doberm
Matoimaru,4,1,0,0,0,0,0,char_289_gyuki
Conviction,4,4,0,0,0,0,0,char_159_peacok
Frostleaf,4,4,2,1,1,1,0,char_193_frostl
Estelle,4,2,1,1,1,1,0,char_127_estell
Mousse,4,3,2,1,1,1,0,char_185_frncat
Cutter,4,4,3,1,3,1,0,char_301_cutter
Utage,4,2,1,0,0,0,0,char_337_utage
Arene,4,2,0,0,0,0,0,char_271_spikes
Gravel,4,4,4,1,0,2,0,char_237_gravel
Jaye,4,4,4,1,0,3,0,char_272_strong
Rope,3,2,1,0,0,1,0,char_236_rope
Myrrh,3,3,1,0,0,0,0,char_117_myrrh
Gavial,3,3,0,0,0,0,0,char_187_ccheal
Sussurro,4,3,3,1,0,1,0,char_298_susuro
Perfumer,3,2,1,0,0,0,0,char_181_flower
Purestream,4,4,1,1,0,1,0,char_385_finlpp
Chestnut,0,0,0,0,0,0,0,char_4041_chnut
Matterhorn,3,1,0,0,0,0,0,char_199_yak
Cuora,3,3,2,0,0,0,0,char_150_snakek
Bubble,3,3,0,0,0,0,0,char_381_bubble
Gummy,3,2,1,0,1,0,0,char_196_sunbr
Dur-nar,3,2,2,0,0,0,0,char_260_durnar
Deepcolor,3,1,1,1,1,0,0,char_110_deepcl
Earthspirit,3,3,1,0,0,0,0,char_183_skgoat
Podenco,3,2,0,0,0,0,0,char_258_podego
Roberta,3,1,0,0,0,0,0,char_484_robrta
Ethan,4,4,3,1,0,2,0,char_355_ethan
Shaw,4,4,2,1,1,1,0,char_277_sqrrel
Ptilopsis,3,3,3,0,0,2,0,char_128_plosis
Breeze,1,1,1,0,0,0,0,char_275_breeze
Zima,3,2,1,0,0,0,0,char_115_headbr
Texas,4,4,4,0,0,4,0,char_102_texas
Chiave,3,1,0,0,0,0,0,char_349_chiave
Reed,3,1,1,0,0,1,0,char_261_sddrag
Wild Mane,3,1,1,0,0,0,0,char_496_wildmn
Elysium,4,4,4,0,2,4,0,char_401_elysm
Blacknight,0,0,0,0,0,0,0,char_476_blkngt
Swire,4,0,0,0,0,0,0,char_308_swire
Whislash,4,2,0,0,0,0,0,char_265_sophia
Franka,4,1,1,0,0,0,0,char_106_franka
Flamebringer,4,0,0,0,0,0,0,char_131_flameb
Indra,4,3,3,0,0,0,0,char_155_tiger
Flint,4,0,0,0,0,0,0,char_415_flint
Lappland,5,5,5,0,0,4,0,char_140_whitew
Ayerscarpe,4,1,1,0,1,0,0,char_294_ayer
Bibeak,5,4,4,1,0,3,0,char_252_bibeak
Tachanka,4,1,0,0,0,0,0,char_459_tachak
Specter,5,5,5,1,0,5,0,char_143_ghost
Broca,4,1,1,0,0,0,0,char_356_broca
Astesia,4,3,2,0,0,1,0,char_274_astesi
Sideroca,4,1,1,0,0,0,0,char_333_sidero
Akafuyu,4,1,1,0,0,0,0,char_475_akafyu
La Pluma,5,5,5,2,2,5,0,char_421_crow
Tequila,4,3,3,1,1,1,0,char_486_takila
Blue Poison,3,3,2,0,2,1,0,char_129_bluep
Platinum,3,3,2,1,0,2,0,char_204_platnm
GreyThroat,3,1,1,0,0,0,0,char_367_swllow
April,2,1,1,0,0,1,0,char_365_aprl
Kroos the Keen Glint,0,0,0,0,0,0,0,char_1021_kroos2
Meteorite,3,3,3,0,1,0,0,char_219_meteo
Sesa,3,0,0,0,0,0,0,char_379_sesa
Executor,3,2,0,0,0,0,0,char_279_excu
Aosta,2,0,0,0,0,0,0,char_346_aosta
Amiya,5,5,5,1,0,0,0,char_002_amiya
Absinthe,3,1,1,0,0,0,0,char_405_absin
Tomimi,4,2,2,1,1,1,0,char_411_tomimi
Skyfire,3,1,0,0,0,0,0,char_166_skfire
Leizi,3,0,0,0,0,0,0,char_306_leizi
Beeswax,2,2,1,0,0,0,0,char_344_beewax
Leonhardt,1,0,0,0,0,0,0,char_373_lionhd
Mint,3,0,0,0,0,0,0,char_388_mint
Iris,4,2,2,0,0,1,0,char_338_iris
Lava the Purgatory,3,2,1,0,0,0,0,char_1011_lava2
Corroserum,3,0,0,0,0,0,0,char_489_serum
Kjera,0,0,0,0,0,0,0,char_4013_kjera
Rockrock,0,0,0,0,0,0,0,char_4040_rockr
Mayer,3,3,2,2,0,2,0,char_242_otter
Scene,4,3,2,0,0,1,0,char_336_folivo
Silence,3,3,2,0,0,0,0,char_108_silent
Warfarin,4,4,4,0,0,4,0,char_171_bldsk
Folinic,3,1,1,0,0,0,0,char_345_folnic
Ceylon,3,0,0,0,0,0,0,char_348_ceylon
Whisperain,3,3,3,0,0,1,0,char_436_whispr
Tuye,3,1,0,0,0,0,0,char_402_tuye
Mulberry,2,2,1,0,0,0,0,char_473_mberry
Honeyberry,1,1,0,0,0,0,0,char_449_glider
Nearl,3,3,3,0,0,0,0,char_148_nearl
Hung,3,0,0,0,0,0,0,char_226_hmau
Projekt Red,4,4,4,0,0,3,0,char_144_red
Waai Fu,3,3,3,0,0,0,0,char_243_waaifu
Kafka,4,2,1,1,1,1,0,char_214_kafka
Mr.Nothing,2,1,1,0,0,0,0,char_455_nothin
Liskarm,3,3,3,0,0,0,0,char_107_liskam
Croissant,3,1,0,0,0,0,0,char_201_moeshd
Bison,3,0,0,0,0,0,0,char_325_bison
Vulcan,4,4,4,1,1,1,0,char_163_hpsts
Asbestos,2,0,0,0,0,0,0,char_378_asbest
Shalem,0,0,0,0,0,0,0,char_4025_aprot2
Blitz,2,0,0,0,0,0,0,char_457_blitz
Heavyrain,3,0,0,0,0,0,0,char_304_zebra
Ashlock,2,2,2,0,0,1,0,char_431_ashlok
Aurora,0,0,0,0,0,0,0,char_422_aurora
Provence,3,3,2,0,0,0,0,char_145_prove
Firewatch,3,3,3,0,0,1,0,char_158_milu
Andreana,2,0,0,0,0,0,0,char_218_cuttle
Toddifons,1,0,0,0,0,0,0,char_363_toddi
Cliffheart,3,3,2,0,0,2,0,char_173_slchan
Snowsant,3,1,1,0,0,0,0,char_383_snsant
Pramanix,3,3,1,0,0,0,0,char_174_slbell
Shamare,4,4,4,0,0,4,0,char_254_vodfox
Istina,3,2,1,0,0,0,0,char_195_glassb
Glaucus,3,3,2,0,0,1,0,char_326_glacus
Sora,4,4,3,0,0,1,0,char_101_sora
Heidi,0,0,0,0,0,0,0,char_4045_heidi
Tsukinogi,3,0,0,0,0,0,0,char_343_tknogi
Nine-Colored Deer,0,0,0,0,0,0,0,char_4019_ncdeer
Quercus,0,0,0,0,0,0,0,char_492_quercu
